fare_id,origin_id,destination_id
２区,8_2,4_2
１区,8_2,5_2
１区,8_2,6_2
１区,8_2,7_2
１区,8_1,9_1
１区,8_1,9_3
１区,8_1,10_1
１区,8_1,11_1
２区,8_1,12_1
２区,8_1,13_1
２区,8_1,13_2
１区,8_1,14_1
１区,8_1,15_1
１区,8_1,16_1
２区,8_1,17_1
２区,8_1,18_1
２区,8_1,19_1
２区,8_1,19_2
３区,9_4,1_3
３区,9_4,1_4
２区,9_4,2_2
２区,9_4,3_2
２区,9_4,4_2
２区,9_4,5_2
１区,9_4,6_2
１区,9_4,7_2
１区,9_4,8_2
１区,9_3,10_1
１区,9_3,11_1
１区,9_3,12_1
２区,9_3,13_1
２区,9_3,13_2
１区,9_1,14_1
１区,9_1,15_1
１区,9_1,16_1
１区,9_1,17_1
２区,9_1,18_1
２区,9_1,19_1
２区,9_1,19_2
４区,9_4,20_2
４区,9_4,20_3
４区,9_4,21_2
４区,9_4,22_2
３区,9_4,23_2
３区,9_4,24_2
３区,9_4,25_2
３区,9_4,26_2
３区,9_4,27_2
２区,9_4,28_2
２区,9_4,29_2
２区,9_4,30_2
２区,9_4,31_2
１区,9_4,32_2
１区,9_4,33_2
１区,9_4,34_2
３区,10_2,1_3
３区,10_2,1_4
３区,10_2,2_2
２区,10_2,3_2
２区,10_2,4_2
２区,10_2,5_2
２区,10_2,6_2
１区,10_2,7_2
１区,10_2,8_2
１区,10_2,9_4
１区,10_1,11_1
１区,10_1,12_1
２区,10_1,13_1
２区,10_1,13_2
１区,10_2,14_1
１区,10_2,15_1
２区,10_2,16_1
２区,10_2,17_1
２区,10_2,18_1
２区,10_2,19_1
２区,10_2,19_2
４区,10_2,20_2
４区,10_2,20_3
４区,10_2,21_2
４区,10_2,22_2
４区,10_2,23_2
３区,10_2,24_2
３区,10_2,25_2
３区,10_2,26_2
３区,10_2,27_2
３区,10_2,28_2
２区,10_2,29_2
２区,10_2,30_2
２区,10_2,31_2
２区,10_2,32_2
１区,10_2,33_2
１区,10_2,34_2
３区,11_2,1_3
３区,11_2,1_4
３区,11_2,2_2
