route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
空港線,空港箱崎_平日,空港線_平日_1_198,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_199,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_200,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_201,姪浜,1,kukohakozaki_平日_1_b1_95,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_202,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_203,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_204,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_205,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_206,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_207,姪浜,1,kukohakozaki_平日_1_b1_104,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_208,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_209,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_210,唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_211,姪浜,1,kukohakozaki_平日_1_b1_109,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_212,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_213,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_214,姪浜,1,kukohakozaki_平日_1_b1_113,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_215,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_216,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_217,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_218,姪浜,1,kukohakozaki_平日_1_b1_118,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_219,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_220,唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_221,姪浜,1,kukohakozaki_平日_1_b1_122,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_222,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_223,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_224,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_225,姪浜,1,kukohakozaki_平日_1_b1_127,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_226,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_227,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_228,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_229,姪浜,1,kukohakozaki_平日_1_b1_132,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_230,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_231,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_232,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_233,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_234,姪浜,1,kukohakozaki_平日_1_b1_138,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_235,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_236,姪浜,1,kukohakozaki_平日_1_b1_140,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_237,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_238,姪浜,1,kukohakozaki_平日_1_b1_142,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_239,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_240,西唐津,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_241,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_242,姪浜,1,kukohakozaki_平日_1_b1_147,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_243,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_244,姪浜,1,kukohakozaki_平日_1_b1_149,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_245,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_246,姪浜,1,kukohakozaki_平日_1_b1_151,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_247,姪浜,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_248,筑前前原,1,,空港線（姪浜方面行き）,1
空港線,空港箱崎_平日,空港線_平日_1_249,姪浜,1,kukohakozaki_平日_1_b1_154,空港線（姪浜方面行き）,1
